neighbourhood,neighbourhood_group
Avondale,Avondale
Bridgeport,Bridgeport
Armour Square,Douglas
Douglas,Douglas
Edgewater,Edgewater
Fuller Park,Bronzeville
Grand Boulevard,Bronzeville
Kenwood,Bronzeville
Oakland,Bronzeville
Hyde Park,Hyde Park
Washington Park,Hyde Park
Woodlawn,Hyde Park
Irving Park,Irving Park
Lake View,Lake View
Lincoln Park,Lincoln Park
Lincoln Square,Lincoln Square
Logan Square,Logan Square
Loop,Loop
Lower West Side,Lower West Side
Near North Side,Near North Side
Near South Side,Near South Side
Near West Side,Near West Side
North Center,North Center
Albany Park,Northwest Side
Belmont Cragin,Northwest Side
Edison Park,Northwest Side
Forest Glen,Northwest Side
Hermosa,Northwest Side
Jefferson Park,Northwest Side
Montclare,Northwest Side
North Park,Northwest Side
Norwood Park,Northwest Side
Ohare,Northwest Side
Portage Park,Northwest Side
West Ridge,Northwest Side
Rogers Park,Rogers Park
Archer Heights,South Side
Ashburn,South Side
Auburn Gresham,South Side
Avalon Park,South Side
Beverly,South Side
Brighton Park,South Side
Burnside,South Side
Calumet Heights,South Side
Chatham,South Side
Chicago Lawn,South Side
Clearing,South Side
East Side,South Side
Englewood,South Side
Gage Park,South Side
Greater Grand Crossing,South Side
Hegewisch,South Side
Mckinley Park,South Side
Morgan Park,South Side
Mount Greenwood,South Side
New City,South Side
Pullman,South Side
Riverdale,South Side
Roseland,South Side
South Chicago,South Side
South Deering,South Side
South Lawndale,South Side
South Shore,South Side
Washington Heights,South Side
West Elsdon,South Side
West Englewood,South Side
West Lawn,South Side
West Pullman,South Side
Uptown,Uptown
Austin,West Side
Dunning,West Side
East Garfield Park,West Side
Garfield Ridge,West Side
Humboldt Park,West Side
North Lawndale,West Side
West Garfield Park,West Side
West Town,West Town